"","dt_Primary","total","female_percentage","male_percentage","DrugName","female_popularity","male_popularity"
"124","Psychedelic",7.38838487861903,0.00018,0.00057,"2C-B-Fly",0.0028328611898017,0.0140949554896142
"125","Psychedelic",7.38838487861903,0.00018,0.00057,"ALD-52",0.0028328611898017,0.0140949554896142
"126","Psychedelic",8.12853387405436,0.00145,0.00057,"Pharms - Lithium",0.0226628895184136,0.0140949554896142
"127","Stimulant",7.38838487861903,0.00018,0.00057,"Piperazines",0.0028328611898017,0.0140949554896142
"128","Psychedelic",7.62344870507015,0.00054,0.00057,"TMA-2",0.0084985835694051,0.0140949554896142
"129","Psychedelic",7.50871622944001,0.00054,0.00054,"Acacia confusa",0.0084985835694051,0.013353115727003
"130","Psychedelic",7.73308024100734,0.00091,0.00054,"Mushrooms - P. mexicana",0.0141643059490085,0.013353115727003
"131","Depressant",7.12853387405436,0,0.00054,"Pharms - Eszopiclone",0,0.013353115727003
"132","Psychedelic",7.12853387405436,0.00018,0.00051,"Allylescaline",0.0028328611898017,0.0126112759643917
"133","Deliriant",7.26188004907432,0.00036,0.00051,"Scopolamine",0.0056657223796034,0.0126112759643917
"134","Stimulant",6.83804516540582,0,0.00048,"2-Aminoindan",0,0.0118694362017804
"135","Stimulant",6.98756388009695,0.00018,0.00048,"3F-Phenmetrazine",0.0028328611898017,0.0118694362017804
"136","Stimulant",6.98756388009695,0.00018,0.00048,"bk-MDEA",0.0028328611898017,0.0118694362017804
"137","Psychedelic",6.98756388009695,0.00036,0.00045,"4-AcO-MET",0.0056657223796034,0.0111275964391691
"138","Depressant",6.98756388009695,0.00036,0.00045,"Pharms - Phenazepam",0.0056657223796034,0.0111275964391691
"139","Depressant",6.67887358726757,0,0.00045,"Pharms - Zaleplon",0,0.0111275964391691
"140","Psychedelic",7.12853387405436,0.00073,0.00042,"4-HO-DET",0.0113314447592068,0.0103857566765579
"141","Stimulant",6.50871622944001,0.00018,0.00039,"a-PVP",0.0028328611898017,0.00964391691394659
"142","Psychedelic",6.83804516540582,0.00054,0.00039,"Acacia",0.0084985835694051,0.00964391691394659
"143","Psychedelic",6.67887358726757,0.00036,0.00039,"Methallylescaline",0.0056657223796034,0.00964391691394659
"144","Stimulant",6.50871622944001,0.00018,0.00039,"Methcathinone",0.0028328611898017,0.00964391691394659
"145","Depressant",6.83804516540582,0.00054,0.00039,"Pharms - Baclofen",0.0084985835694051,0.00964391691394659
"146","Stimulant",6.50871622944001,0.00018,0.00039,"Piperazines - TFMPP",0.0028328611898017,0.00964391691394659
"147","Depressant",6.12853387405436,0,0.00036,"Barbiturates",0,0.00890207715133531
"148","Depressant",5.9139374137187,0,0.00033,"Flubromazolam",0,0.00816023738872404
"149","Psychedelic",5.9139374137187,0,0.00033,"LSA",0,0.00816023738872404
"150","Depressant",6.32594348112759,0.00036,0.00033,"Methaqualone",0.0056657223796034,0.00816023738872404
"151","Stimulant",6.12853387405436,0.00018,0.00033,"N-Ethylhexedrone",0.0028328611898017,0.00816023738872404
"152","Stimulant",5.9139374137187,0,0.00033,"Pharms - Dexmethylphenidate",0,0.00816023738872404
"153","Depressant",6.32594348112759,0.00036,0.00033,"Pharms - Flunitrazepam",0.0056657223796034,0.00816023738872404
"154","Stimulant",5.9139374137187,0,0.00033,"Piperazines - mCPP",0,0.00816023738872404
"155","Psychedelic",5.9139374137187,0,0.00033,"Psilocin",0,0.00816023738872404
"156","Psychedelic",6.12853387405436,0.00036,3e-04,"MIPT",0.0056657223796034,0.00741839762611276
"157","Psychedelic",6.50871622944001,0.00073,3e-04,"NBOMe Series",0.0113314447592068,0.00741839762611276
"158","Depressant",6.12853387405436,0.00036,3e-04,"Pharms - Chlordiazepoxide",0.0056657223796034,0.00741839762611276
"159","Depressant",5.67887358726757,0,3e-04,"Pharms - Propofol",0,0.00741839762611276
"160","Depressant",5.67887358726757,0.00018,0.00027,"Barbiturates - Phenobarbital",0.0028328611898017,0.00667655786350148
"161","Psychedelic",5.67887358726757,0.00018,0.00027,"Cacti - columnar",0.0028328611898017,0.00667655786350148
"162","Psychedelic",5.41902258270291,0,0.00027,"DET",0,0.00667655786350148
"163","Psychedelic",5.9139374137187,0.00036,0.00027,"ETH-LAD",0.0056657223796034,0.00667655786350148
